tag,category,course_level,pattern,response
courses_mtech,Courses & Programs,MTech,list of m tech programs,"M.Tech (2 years, PG) is offered in: Computer Science & Engineering, VLSI Design, Structural Engineering and Thermal Engineering."
courses_mtech,Courses & Programs,MTech,mtech branches offered,"M.Tech (2 years, PG) is offered in: Computer Science & Engineering, VLSI Design, Structural Engineering and Thermal Engineering."
courses_mtech,Courses & Programs,MTech,postgraduate engineering courses,"M.Tech (2 years, PG) is offered in: Computer Science & Engineering, VLSI Design, Structural Engineering and Thermal Engineering."
courses_mca,Courses & Programs,MCA,what is mca course,"MCA (Master of Computer Applications, 2 years, PG) covers advanced programming, data structures, cloud computing, AI/ML and software engineering."
courses_mca,Courses & Programs,MCA,mca course details,"MCA (Master of Computer Applications, 2 years, PG) covers advanced programming, data structures, cloud computing, AI/ML and software engineering."
courses_mca,Courses & Programs,MCA,tell me about mca program,"MCA (Master of Computer Applications, 2 years, PG) covers advanced programming, data structures, cloud computing, AI/ML and software engineering."
courses_mca,Courses & Programs,MCA,mca subjects offered,"MCA (Master of Computer Applications, 2 years, PG) covers advanced programming, data structures, cloud computing, AI/ML and software engineering."
courses_mca,Courses & Programs,MCA,is mca available here,"MCA (Master of Computer Applications, 2 years, PG) covers advanced programming, data structures, cloud computing, AI/ML and software engineering."
admission_btech,Admission Information,BTech,how to get admission in btech,"B.Tech admission requires 10+2 with Physics, Chemistry and Mathematics, and a valid entrance exam score (JEE/State CET). Apply online through the admissions portal."
admission_btech,Admission Information,BTech,btech eligibility criteria,"B.Tech admission requires 10+2 with Physics, Chemistry and Mathematics, and a valid entrance exam score (JEE/State CET). Apply online through the admissions portal."
admission_btech,Admission Information,BTech,what is required for b.tech admission,"B.Tech admission requires 10+2 with Physics, Chemistry and Mathematics, and a valid entrance exam score (JEE/State CET). Apply online through the admissions portal."
admission_btech,Admission Information,BTech,btech admission process,"B.Tech admission requires 10+2 with Physics, Chemistry and Mathematics, and a valid entrance exam score (JEE/State CET). Apply online through the admissions portal."
admission_bca,Admission Information,BCA,how to get admission in bca,"BCA admission requires 10+2 in any stream with Mathematics/Computer Science as a subject, and merit-based selection through the college entrance test."
admission_bca,Admission Information,BCA,bca eligibility criteria,"BCA admission requires 10+2 in any stream with Mathematics/Computer Science as a subject, and merit-based selection through the college entrance test."
admission_bca,Admission Information,BCA,what is required for bca admission,"BCA admission requires 10+2 in any stream with Mathematics/Computer Science as a subject, and merit-based selection through the college entrance test."
admission_bca,Admission Information,BCA,bca admission process,"BCA admission requires 10+2 in any stream with Mathematics/Computer Science as a subject, and merit-based selection through the college entrance test."
admission_bsc,Admission Information,BSc,how to get admission in bsc,B.Sc admission requires 10+2 with Science stream (PCM/PCB) and merit-based selection as per the marks obtained in qualifying exams.
admission_bsc,Admission Information,BSc,bsc eligibility criteria,B.Sc admission requires 10+2 with Science stream (PCM/PCB) and merit-based selection as per the marks obtained in qualifying exams.
admission_bsc,Admission Information,BSc,what is required for b.sc admission,B.Sc admission requires 10+2 with Science stream (PCM/PCB) and merit-based selection as per the marks obtained in qualifying exams.
admission_bsc,Admission Information,BSc,bsc admission process,B.Sc admission requires 10+2 with Science stream (PCM/PCB) and merit-based selection as per the marks obtained in qualifying exams.
admission_mtech,Admission Information,MTech,how to get admission in mtech,M.Tech admission requires a B.Tech/B.E. degree in a relevant discipline with a valid GATE score (preferred) or an entrance test conducted by the college.
admission_mtech,Admission Information,MTech,mtech eligibility criteria,M.Tech admission requires a B.Tech/B.E. degree in a relevant discipline with a valid GATE score (preferred) or an entrance test conducted by the college.
admission_mtech,Admission Information,MTech,what is required for m.tech admission,M.Tech admission requires a B.Tech/B.E. degree in a relevant discipline with a valid GATE score (preferred) or an entrance test conducted by the college.
admission_mtech,Admission Information,MTech,mtech admission process,M.Tech admission requires a B.Tech/B.E. degree in a relevant discipline with a valid GATE score (preferred) or an entrance test conducted by the college.
admission_mca,Admission Information,MCA,how to get admission in mca,"MCA admission requires a bachelor's degree with Mathematics at 10+2 or graduation level, along with a qualifying score in the entrance test."
admission_mca,Admission Information,MCA,mca eligibility criteria,"MCA admission requires a bachelor's degree with Mathematics at 10+2 or graduation level, along with a qualifying score in the entrance test."
admission_mca,Admission Information,MCA,what is required for mca admission,"MCA admission requires a bachelor's degree with Mathematics at 10+2 or graduation level, along with a qualifying score in the entrance test."
admission_mca,Admission Information,MCA,mca admission process,"MCA admission requires a bachelor's degree with Mathematics at 10+2 or graduation level, along with a qualifying score in the entrance test."
fee_btech,Fee Structure,BTech,what is the btech fee,"B.Tech annual tuition fee is approximately Rs. 1,20,000 per year, excluding hostel and examination charges."
fee_btech,Fee Structure,BTech,b.tech tuition fees,"B.Tech annual tuition fee is approximately Rs. 1,20,000 per year, excluding hostel and examination charges."
fee_btech,Fee Structure,BTech,how much does btech cost per year,"B.Tech annual tuition fee is approximately Rs. 1,20,000 per year, excluding hostel and examination charges."
fee_btech,Fee Structure,BTech,btech fee structure,"B.Tech annual tuition fee is approximately Rs. 1,20,000 per year, excluding hostel and examination charges."
fee_bca,Fee Structure,BCA,what is the bca fee,"BCA annual tuition fee is approximately Rs. 60,000 per year, excluding hostel and examination charges."
fee_bca,Fee Structure,BCA,bca tuition fees,"BCA annual tuition fee is approximately Rs. 60,000 per year, excluding hostel and examination charges."
fee_bca,Fee Structure,BCA,how much does bca cost per year,"BCA annual tuition fee is approximately Rs. 60,000 per year, excluding hostel and examination charges."
fee_bca,Fee Structure,BCA,bca fee structure,"BCA annual tuition fee is approximately Rs. 60,000 per year, excluding hostel and examination charges."
fee_bsc,Fee Structure,BSc,what is the bsc fee,"B.Sc annual tuition fee is approximately Rs. 45,000 per year, excluding hostel and examination charges."
fee_bsc,Fee Structure,BSc,bsc tuition fees,"B.Sc annual tuition fee is approximately Rs. 45,000 per year, excluding hostel and examination charges."
fee_bsc,Fee Structure,BSc,how much does bsc cost per year,"B.Sc annual tuition fee is approximately Rs. 45,000 per year, excluding hostel and examination charges."
fee_bsc,Fee Structure,BSc,bsc fee structure,"B.Sc annual tuition fee is approximately Rs. 45,000 per year, excluding hostel and examination charges."
fee_mtech,Fee Structure,MTech,what is the mtech fee,"M.Tech annual tuition fee is approximately Rs. 90,000 per year, excluding hostel and examination charges."
fee_mtech,Fee Structure,MTech,m.tech tuition fees,"M.Tech annual tuition fee is approximately Rs. 90,000 per year, excluding hostel and examination charges."
fee_mtech,Fee Structure,MTech,how much does mtech cost per year,"M.Tech annual tuition fee is approximately Rs. 90,000 per year, excluding hostel and examination charges."
fee_mtech,Fee Structure,MTech,mtech fee structure,"M.Tech annual tuition fee is approximately Rs. 90,000 per year, excluding hostel and examination charges."
fee_mca,Fee Structure,MCA,what is the mca fee,"MCA annual tuition fee is approximately Rs. 70,000 per year, excluding hostel and examination charges."
fee_mca,Fee Structure,MCA,mca tuition fees,"MCA annual tuition fee is approximately Rs. 70,000 per year, excluding hostel and examination charges."
fee_mca,Fee Structure,MCA,how much does mca cost per year,"MCA annual tuition fee is approximately Rs. 70,000 per year, excluding hostel and examination charges."
fee_mca,Fee Structure,MCA,mca fee structure,"MCA annual tuition fee is approximately Rs. 70,000 per year, excluding hostel and examination charges."
scholarship_merit,Scholarships,General,is there a merit scholarship,"Merit scholarships offer up to 50% fee waiver for students scoring above 90% in qualifying exams, renewable each year based on academic performance."
scholarship_merit,Scholarships,General,scholarship for toppers,"Merit scholarships offer up to 50% fee waiver for students scoring above 90% in qualifying exams, renewable each year based on academic performance."
scholarship_merit,Scholarships,General,merit based scholarship details,"Merit scholarships offer up to 50% fee waiver for students scoring above 90% in qualifying exams, renewable each year based on academic performance."
scholarship_merit,Scholarships,General,scholarship for good marks,"Merit scholarships offer up to 50% fee waiver for students scoring above 90% in qualifying exams, renewable each year based on academic performance."
scholarship_sc_st,Scholarships,General,scholarship for sc st students,SC/ST students are eligible for government post-matric scholarships as per state norms; apply through the National Scholarship Portal with your caste certificate.
scholarship_sc_st,Scholarships,General,reserved category scholarship,SC/ST students are eligible for government post-matric scholarships as per state norms; apply through the National Scholarship Portal with your caste certificate.
scholarship_sc_st,Scholarships,General,government scholarship for sc st,SC/ST students are eligible for government post-matric scholarships as per state norms; apply through the National Scholarship Portal with your caste certificate.
scholarship_sc_st,Scholarships,General,is there a caste based scholarship,SC/ST students are eligible for government post-matric scholarships as per state norms; apply through the National Scholarship Portal with your caste certificate.
scholarship_sports,Scholarships,General,scholarship for sports students,"Sports scholarships cover up to 25% of tuition fees for students with state/national level sporting achievements, subject to a certificate verification."
scholarship_sports,Scholarships,General,sports quota scholarship,"Sports scholarships cover up to 25% of tuition fees for students with state/national level sporting achievements, subject to a certificate verification."
scholarship_sports,Scholarships,General,scholarship for athletes,"Sports scholarships cover up to 25% of tuition fees for students with state/national level sporting achievements, subject to a certificate verification."
scholarship_sports,Scholarships,General,financial help for sports achievers,"Sports scholarships cover up to 25% of tuition fees for students with state/national level sporting achievements, subject to a certificate verification."
dept_cse,Departments,General,tell me about the cse department,"The Department of Computer Science & Engineering offers B.Tech, M.Tech and MCA programs with labs in AI, IoT and Cybersecurity."
dept_cse,Departments,General,computer science department details,"The Department of Computer Science & Engineering offers B.Tech, M.Tech and MCA programs with labs in AI, IoT and Cybersecurity."
dept_cse,Departments,General,who heads the cse department,"The Department of Computer Science & Engineering offers B.Tech, M.Tech and MCA programs with labs in AI, IoT and Cybersecurity."
dept_ece,Departments,General,tell me about the ece department,"The Department of Electronics & Communication Engineering offers B.Tech with labs in VLSI, embedded systems and communication networks."
dept_ece,Departments,General,electronics department details,"The Department of Electronics & Communication Engineering offers B.Tech with labs in VLSI, embedded systems and communication networks."
dept_ece,Departments,General,who heads the ece department,"The Department of Electronics & Communication Engineering offers B.Tech with labs in VLSI, embedded systems and communication networks."
dept_mech,Departments,General,tell me about the mechanical department,"The Department of Mechanical Engineering offers B.Tech and M.Tech with workshops in CAD/CAM, thermal and manufacturing labs."
dept_mech,Departments,General,mech department details,"The Department of Mechanical Engineering offers B.Tech and M.Tech with workshops in CAD/CAM, thermal and manufacturing labs."
dept_mech,Departments,General,who heads the mechanical department,"The Department of Mechanical Engineering offers B.Tech and M.Tech with workshops in CAD/CAM, thermal and manufacturing labs."
dept_science,Departments,General,tell me about the science department,"The Department of Basic & Applied Sciences runs the B.Sc programs and handles first year Physics, Chemistry and Mathematics for all engineering branches."
dept_science,Departments,General,bsc department details,"The Department of Basic & Applied Sciences runs the B.Sc programs and handles first year Physics, Chemistry and Mathematics for all engineering branches."
dept_science,Departments,General,who heads the science department,"The Department of Basic & Applied Sciences runs the B.Sc programs and handles first year Physics, Chemistry and Mathematics for all engineering branches."
academic_calendar,Academic Calendar,General,when does the semester start,The odd semester runs from July to December and the even semester from January to May. The detailed academic calendar with holidays is published on the college website at the start of each academic year.
academic_calendar,Academic Calendar,General,academic calendar for this year,The odd semester runs from July to December and the even semester from January to May. The detailed academic calendar with holidays is published on the college website at the start of each academic year.
academic_calendar,Academic Calendar,General,when are the college holidays,The odd semester runs from July to December and the even semester from January to May. The detailed academic calendar with holidays is published on the college website at the start of each academic year.
academic_calendar,Academic Calendar,General,semester schedule details,The odd semester runs from July to December and the even semester from January to May. The detailed academic calendar with holidays is published on the college website at the start of each academic year.
academic_calendar,Academic Calendar,General,when does college reopen after vacation,The odd semester runs from July to December and the even semester from January to May. The detailed academic calendar with holidays is published on the college website at the start of each academic year.
exam_schedule,Exam Information,General,when are the exams,End-semester exams are usually held in the last two weeks of the semester. The exact date sheet is released by the examination cell four weeks in advance.
exam_schedule,Exam Information,General,exam time table,End-semester exams are usually held in the last two weeks of the semester. The exact date sheet is released by the examination cell four weeks in advance.
exam_schedule,Exam Information,General,exam schedule for this semester,End-semester exams are usually held in the last two weeks of the semester. The exact date sheet is released by the examination cell four weeks in advance.
exam_schedule,Exam Information,General,when do end semester exams start,End-semester exams are usually held in the last two weeks of the semester. The exact date sheet is released by the examination cell four weeks in advance.
exam_registration,Exam Information,General,how to register for exams,Exam registration is done online through the student portal. A student must clear at least 75% attendance to be eligible to register for the semester exam.
exam_registration,Exam Information,General,exam form filling process,Exam registration is done online through the student portal. A student must clear at least 75% attendance to be eligible to register for the semester exam.
exam_registration,Exam Information,General,last date for exam registration,Exam registration is done online through the student portal. A student must clear at least 75% attendance to be eligible to register for the semester exam.
exam_registration,Exam Information,General,how to fill exam form,Exam registration is done online through the student portal. A student must clear at least 75% attendance to be eligible to register for the semester exam.
exam_rules,Exam Information,General,what are the exam rules,Students must carry their ID card and hall ticket to every exam. Revaluation requests can be submitted within 7 days of result declaration through the examination office.
exam_rules,Exam Information,General,examination rules and regulations,Students must carry their ID card and hall ticket to every exam. Revaluation requests can be submitted within 7 days of result declaration through the examination office.
exam_rules,Exam Information,General,what happens if i fail a subject,Students must carry their ID card and hall ticket to every exam. Revaluation requests can be submitted within 7 days of result declaration through the examination office.
exam_rules,Exam Information,General,revaluation process for exams,Students must carry their ID card and hall ticket to every exam. Revaluation requests can be submitted within 7 days of result declaration through the examination office.
placement_process,Placement Information,General,how does placement work,"Placements begin in the 7th semester for B.Tech/final year for other courses, and include aptitude tests, technical rounds and HR interviews coordinated by the Training & Placement Cell."
placement_process,Placement Information,General,placement process details,"Placements begin in the 7th semester for B.Tech/final year for other courses, and include aptitude tests, technical rounds and HR interviews coordinated by the Training & Placement Cell."
placement_process,Placement Information,General,when do placements start,"Placements begin in the 7th semester for B.Tech/final year for other courses, and include aptitude tests, technical rounds and HR interviews coordinated by the Training & Placement Cell."
placement_process,Placement Information,General,campus recruitment process,"Placements begin in the 7th semester for B.Tech/final year for other courses, and include aptitude tests, technical rounds and HR interviews coordinated by the Training & Placement Cell."
placement_companies,Placement Information,General,which companies visit for placements,"Recruiters include TCS, Infosys, Wipro, Cognizant, Accenture and several product-based startups, visiting every year during the placement season."
placement_companies,Placement Information,General,top recruiters of the college,"Recruiters include TCS, Infosys, Wipro, Cognizant, Accenture and several product-based startups, visiting every year during the placement season."
placement_companies,Placement Information,General,list of placement companies,"Recruiters include TCS, Infosys, Wipro, Cognizant, Accenture and several product-based startups, visiting every year during the placement season."
placement_package,Placement Information,General,what is the average placement package,"The average package is around Rs. 4.5 LPA, with the highest package going up to Rs. 18 LPA for top-performing students in core branches."
placement_package,Placement Information,General,highest package offered,"The average package is around Rs. 4.5 LPA, with the highest package going up to Rs. 18 LPA for top-performing students in core branches."
placement_package,Placement Information,General,salary package after placement,"The average package is around Rs. 4.5 LPA, with the highest package going up to Rs. 18 LPA for top-performing students in core branches."
hostel_availability,Hostel Information,General,is hostel available,"Separate hostel facilities are available for boys and girls within the campus, with limited seats allotted on a first-come-first-served basis."
hostel_availability,Hostel Information,General,do you provide hostel facility,"Separate hostel facilities are available for boys and girls within the campus, with limited seats allotted on a first-come-first-served basis."
hostel_availability,Hostel Information,General,separate hostel for boys and girls,"Separate hostel facilities are available for boys and girls within the campus, with limited seats allotted on a first-come-first-served basis."
hostel_fee,Hostel Information,General,what is the hostel fee,"Hostel fees range from Rs. 45,000 to Rs. 65,000 per year depending on room sharing type (double/triple sharing) and mess charges."
hostel_fee,Hostel Information,General,hostel charges per year,"Hostel fees range from Rs. 45,000 to Rs. 65,000 per year depending on room sharing type (double/triple sharing) and mess charges."
hostel_fee,Hostel Information,General,hostel fee structure,"Hostel fees range from Rs. 45,000 to Rs. 65,000 per year depending on room sharing type (double/triple sharing) and mess charges."
hostel_facilities,Hostel Information,General,what facilities does the hostel have,"Hostels offer Wi-Fi, mess with hygienic food, 24x7 security, laundry service and recreation rooms, along with a fixed curfew time for student safety."
hostel_facilities,Hostel Information,General,hostel amenities,"Hostels offer Wi-Fi, mess with hygienic food, 24x7 security, laundry service and recreation rooms, along with a fixed curfew time for student safety."
hostel_facilities,Hostel Information,General,is wifi available in hostel,"Hostels offer Wi-Fi, mess with hygienic food, 24x7 security, laundry service and recreation rooms, along with a fixed curfew time for student safety."
hostel_facilities,Hostel Information,General,hostel rules and facilities,"Hostels offer Wi-Fi, mess with hygienic food, 24x7 security, laundry service and recreation rooms, along with a fixed curfew time for student safety."
greeting,General,General,hi,"Hello! I am the College Assistant Chatbot. Ask me about admissions, courses, fees, placements, hostel and more."
greeting,General,General,hello,"Hello! I am the College Assistant Chatbot. Ask me about admissions, courses, fees, placements, hostel and more."
greeting,General,General,hey there,"Hello! I am the College Assistant Chatbot. Ask me about admissions, courses, fees, placements, hostel and more."
greeting,General,General,good morning,"Hello! I am the College Assistant Chatbot. Ask me about admissions, courses, fees, placements, hostel and more."
greeting,General,General,good afternoon,"Hello! I am the College Assistant Chatbot. Ask me about admissions, courses, fees, placements, hostel and more."
greeting,General,General,namaste,"Hello! I am the College Assistant Chatbot. Ask me about admissions, courses, fees, placements, hostel and more."
thanks,General,General,thank you,You're welcome! Feel free to ask if you have more questions.
thanks,General,General,thanks a lot,You're welcome! Feel free to ask if you have more questions.
thanks,General,General,thanks for the help,You're welcome! Feel free to ask if you have more questions.
thanks,General,General,ok thank you,You're welcome! Feel free to ask if you have more questions.
goodbye,General,General,bye,Goodbye! All the best for your academic journey.
goodbye,General,General,goodbye,Goodbye! All the best for your academic journey.
goodbye,General,General,see you later,Goodbye! All the best for your academic journey.
goodbye,General,General,talk to you later,Goodbye! All the best for your academic journey.
